"Are you sure you want to do this?","Are you sure you want to do this?"
Delete,Delete
Back,Back
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Credit Memo","Credit Memo"
History,History
"New Order","New Order"
Conditions,Conditions
RMA,RMA
"Carrier Code","Carrier Code"
"Carrier Label","Carrier Label"
Add,Add
Code,Code
Label,Label
"Quick Reply","Quick Reply"
"My Returns","My Returns"
"Return Requests","Return Requests"
"Return Request successfully closed.","Return Request successfully closed."
"My Returns Requests","My Returns Requests"
"Order is not set","Order is not set"
"Wrong Order","Wrong Order"
"New Return for Order #%1","New Return for Order #%1"
"Items were not selected","Items were not selected"
"You didn't agree to Privacy policy","You didn't agree to Privacy policy"
"Request Id is not set","Request Id is not set"
"Request not longer exists","Request not longer exists"
"Return #%1","Return #%1"
"Files %1 have exceeded the maximum file size limit of %2 KB.","Files %1 have exceeded the maximum file size limit of %2 KB."
"The condition has been deleted.","The condition has been deleted."
"Can't delete condition right now. Please review the log and try again.","Can't delete condition right now. Please review the log and try again."
"Can't find a condition to delete.","Can't find a condition to delete."
"Edit Condition","Edit Condition"
"This condition no longer exists.","This condition no longer exists."
"New Condition","New Condition"
"Item Conditions","Item Conditions"
"Manage Item Conditions","Manage Item Conditions"
"Error occurred while deleting condition with ID %1. Error: %2","Error occurred while deleting condition with ID %1. Error: %2"
"%1 condition(s) has been successfully deleted","%1 condition(s) has been successfully deleted"
"%1 condition(s) has been failed to delete","%1 condition(s) has been failed to delete"
"You saved the item.","You saved the item."
"The reason has been deleted.","The reason has been deleted."
"Can't delete reason right now. Please review the log and try again.","Can't delete reason right now. Please review the log and try again."
"Can't find a reason to delete.","Can't find a reason to delete."
"Edit Reason","Edit Reason"
"This reason no longer exists.","This reason no longer exists."
"New Reason","New Reason"
"Return Reasons","Return Reasons"
"Manage Return Reasons","Manage Return Reasons"
"Error occurred while deleting reason with ID %1. Error: %2","Error occurred while deleting reason with ID %1. Error: %2"
"%1 reason(s) has been successfully deleted","%1 reason(s) has been successfully deleted"
"%1 reason(s) has been failed to delete","%1 reason(s) has been failed to delete"
"Error occurred while deleting Request with ID %1. Error: %2","Error occurred while deleting Request with ID %1. Error: %2"
"%1 request(s) has been successfully deleted","%1 request(s) has been successfully deleted"
"%1 request(s) has been failed to delete","%1 request(s) has been failed to delete"
"Archived Requests","Archived Requests"
"New Return","New Return"
"Manage Requests","Manage Requests"
"Customers' Pending Requests","Customers' Pending Requests"
"You saved the return request.","You saved the return request."
"The return request has been moved to %1 grid.","The return request has been moved to %1 grid."
"Wrong Request Qty","Wrong Request Qty"
"View Return Request","View Return Request"
"This request is no longer exists.","This request is no longer exists."
"The resolution has been deleted.","The resolution has been deleted."
"Can't delete resolution right now. Please review the log and try again.","Can't delete resolution right now. Please review the log and try again."
"Can't find a resolution to delete.","Can't find a resolution to delete."
"Edit Resolution","Edit Resolution"
"This resolution no longer exists.","This resolution no longer exists."
"New Resolution","New Resolution"
"Return Resolutions","Return Resolutions"
"Manage Return Resolutions","Manage Return Resolutions"
"Error occurred while deleting resolution with ID %1. Error: %2","Error occurred while deleting resolution with ID %1. Error: %2"
"%1 resolution(s) has been successfully deleted","%1 resolution(s) has been successfully deleted"
"%1 resolution(s) has been failed to delete","%1 resolution(s) has been failed to delete"
"The rule has been deleted.","The rule has been deleted."
"Can't delete rule right now. Please review the log and try again.","Can't delete rule right now. Please review the log and try again."
"Can't find a rule to delete.","Can't find a rule to delete."
"New Return Rule","New Return Rule"
"Edit Return Rule %1","Edit Return Rule %1"
"This rule no longer exists.","This rule no longer exists."
"Return Rules","Return Rules"
"Error occurred while deleting rule with ID %1. Error: %2","Error occurred while deleting rule with ID %1. Error: %2"
"%1 rule(s) has been successfully deleted","%1 rule(s) has been successfully deleted"
"%1 rule(s) has been failed to delete","%1 rule(s) has been failed to delete"
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"The rule is saved.","The rule is saved."
"The status has been deleted.","The status has been deleted."
"Can't delete status right now. Please review the log and try again.","Can't delete status right now. Please review the log and try again."
"Can't find a status to delete.","Can't find a status to delete."
"Edit Status","Edit Status"
"This status no longer exists.","This status no longer exists."
"New Status","New Status"
"RMA Statuses","RMA Statuses"
"You don't have `Initial Status`. Please Create/Enable It.","You don't have `Initial Status`. Please Create/Enable It."
"State `%1` has no active statuses.","State `%1` has no active statuses."
"Customer couldn't Cancel RMA because there is no active status in state `Cancel` with automatically set status on event `Customer Canceled RMA`. Please Create/Enable it.","Customer couldn't Cancel RMA because there is no active status in state `Cancel` with automatically set status on event `Customer Canceled RMA`. Please Create/Enable it."
"Error occurred while deleting status with ID %1. Error: %2","Error occurred while deleting status with ID %1. Error: %2"
"%1 status(es) has been successfully deleted","%1 status(es) has been successfully deleted"
"%1 status(es) has been failed to delete","%1 status(es) has been failed to delete"
"RMA: Unable to autologin a customer. Error is: %1","RMA: Unable to autologin a customer. Error is: %1"
"RMA Login","RMA Login"
"Order not found","Order not found"
"Request is not set","Request is not set"
"Message with specified ID ""%1"" not found.","Message with specified ID ""%1"" not found."
"Unable to remove message with ID %1. Error: %2","Unable to remove message with ID %1. Error: %2"
"Unable to remove message. Error: %1","Unable to remove message. Error: %1"
"Unable to save new reason. Error: %1","Unable to save new reason. Error: %1"
"A 'Title' will be displayed to store admins in the backend while a 'Label' will be displayed to customers on the frontend","A 'Title' will be displayed to store admins in the backend while a 'Label' will be displayed to customers on the frontend"
"Condition with specified ID ""%1"" not found.","Condition with specified ID ""%1"" not found."
"Unable to save condition with ID %1. Error: %2","Unable to save condition with ID %1. Error: %2"
"Unable to save new condition. Error: %1","Unable to save new condition. Error: %1"
"Unable to remove condition with ID %1. Error: %2","Unable to remove condition with ID %1. Error: %2"
"Unable to remove rule. Error: %1","Unable to remove rule. Error: %1"
CLI,CLI
"%1 %2 created new RMA","%1 %2 created new RMA"
"Status automatically changed from ""%3"" to ""%4""","Status automatically changed from ""%3"" to ""%4"""
"%1 %2 added chat message","%1 %2 added chat message"
"%1 %2 deleted chat message ""%3""","%1 %2 deleted chat message ""%3"""
"%1 %2 added tracking number %3 %4","%1 %2 added tracking number %3 %4"
"%1 %2 deleted tracking number %3 %4","%1 %2 deleted tracking number %3 %4"
"%1 %2 attached shipping label","%1 %2 attached shipping label"
"%1 %2 deleted shipping label","%1 %2 deleted shipping label"
"Customer closed RMA","Customer closed RMA"
"Status changed from ""%1"" to ""%2"". ","Status changed from ""%1"" to ""%2"". "
"Manager changed from ""%1"" to ""%2"". ","Manager changed from ""%1"" to ""%2"". "
"Note changed from ""%1"" to ""%2""","Note changed from ""%1"" to ""%2"""
"Item ""%1 %2"" changed:","Item ""%1 %2"" changed:"
"- state from ""%1"" to ""%2""","- state from ""%1"" to ""%2"""
"- qty from ""%1"" to ""%2""","- qty from ""%1"" to ""%2"""
"- reason from ""%1"" to ""%2""","- reason from ""%1"" to ""%2"""
"- condition from ""%1"" to ""%2""","- condition from ""%1"" to ""%2"""
"- resolution from ""%1"" to ""%2""","- resolution from ""%1"" to ""%2"""
"Item ""%1 %2"" splited.
- state: %3
- qty: %4
- reason: %5
- condition: %6
- resolution: %7","Item ""%1 %2"" splited.
- state: %3
- qty: %4
- reason: %5
- condition: %6
- resolution: %7"
System,System
Manager,Manager
Customer,Customer
status,status
manager,manager
note,note
item-changed,item-changed
splited,splited
"Unable to save new rma event. Error: %1","Unable to save new rma event. Error: %1"
"Rma Event with specified ID ""%1"" not found.","Rma Event with specified ID ""%1"" not found."
"Please choose","Please choose"
"Rma Created","Rma Created"
"Tracking Number Added","Tracking Number Added"
"Tracking Number Deleted","Tracking Number Deleted"
"New Message","New Message"
"Deleted Message","Deleted Message"
"Customer Closed Rma","Customer Closed Rma"
"Status Automatically Changed","Status Automatically Changed"
"Manager Saved Rma","Manager Saved Rma"
"Manager Added Shipping Label","Manager Added Shipping Label"
"Manager Deleted Shipping Label","Manager Deleted Shipping Label"
"System Changed Status","System Changed Status"
"System Changed Manager","System Changed Manager"
Pending,Pending
Authorized,Authorized
Received,Received
Resolved,Resolved
Rejected,Rejected
Unassigned,Unassigned
"Store Owner","Store Owner"
"Do not show","Do not show"
Processing,Processing
Approved,Approved
Delivered,Delivered
Completed,Completed
Canceled,Canceled
Enabled,Enabled
Disabled,Disabled
"Reason with specified ID ""%1"" not found.","Reason with specified ID ""%1"" not found."
"Unable to save reason with ID %1. Error: %2","Unable to save reason with ID %1. Error: %2"
"Unable to remove reason with ID %1. Error: %2","Unable to remove reason with ID %1. Error: %2"
"Unable to remove reason. Error: %1","Unable to remove reason. Error: %1"
"Wrong Order.","Wrong Order."
"Wrong Customer Id","Wrong Customer Id"
"Request doesn't exsists","Request doesn't exsists"
"Customer group with specified ID %1 not found.","Customer group with specified ID %1 not found."
Product,Product
"Return Reason","Return Reason"
"Item Condition","Item Condition"
Resolution,Resolution
"Who Pays for Shipping","Who Pays for Shipping"
"Shipped QTY","Shipped QTY"
"Refunded QTY","Refunded QTY"
"Return QTY","Return QTY"
"Custom Fields","Custom Fields"
"RMA Details","RMA Details"
Reject,Reject
Action,Action
"Detailed Reports","Detailed Reports"
"Analyze the RMA effectiveness with","Analyze the RMA effectiveness with"
"Automation Rules","Automation Rules"
"Speed up the processing of RMA requests with","Speed up the processing of RMA requests with"
"Shipping Labels for RMA","Shipping Labels for RMA"
"Minimize time spent on shipping labels creation with","Minimize time spent on shipping labels creation with"
"Request with specified ID ""%1"" not found.","Request with specified ID ""%1"" not found."
"Unable to save request with ID %1. Error: %2","Unable to save request with ID %1. Error: %2"
"Unable to save new request. Error: %1","Unable to save new request. Error: %1"
"Unable to remove request with ID %1. Error: %2","Unable to remove request with ID %1. Error: %2"
"Unable to remove request. Error: %1","Unable to remove request. Error: %1"
"Resolution with specified ID ""%1"" not found.","Resolution with specified ID ""%1"" not found."
"Unable to save resolution with ID %1. Error: %2","Unable to save resolution with ID %1. Error: %2"
"Unable to save new resolution. Error: %1","Unable to save new resolution. Error: %1"
"Unable to remove resolution with ID %1. Error: %2","Unable to remove resolution with ID %1. Error: %2"
"Unable to remove resolution. Error: %1","Unable to remove resolution. Error: %1"
"Sale attributes","Sale attributes"
"Was on sale (Special price / catalog rule)","Was on sale (Special price / catalog rule)"
"Enter ""0"" or leave empty to disable this type of resolution.","Enter ""0"" or leave empty to disable this type of resolution."
"Unable to save rule with ID %1. Error: %2","Unable to save rule with ID %1. Error: %2"
"Unable to save new rule. Error: %1","Unable to save new rule. Error: %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
