method;store_id;country_id;weight_from;weight_to;price;is_active
domtomcl;0;BL;;0.5000;9.0800;1
domtomcl;0;BL;0.5000;1.0000;13.7800;1
domtomcl;0;BL;1.0000;2.0000;18.7700;1
domtomcl;0;BL;2.0000;3.0000;23.7800;1
domtomcl;0;BL;3.0000;4.0000;28.7800;1
domtomcl;0;BL;4.0000;5.0000;32.9200;1
domtomcl;0;BL;5.0000;6.0000;38.8000;1
domtomcl;0;BL;6.0000;7.0000;43.7900;1
domtomcl;0;BL;7.0000;8.0000;48.5900;1
domtomcl;0;BL;8.0000;9.0000;53.4300;1
domtomcl;0;BL;9.0000;10.0000;59.2300;1
domtomcl;0;BL;10.0000;15.0000;83.1500;1
domtomcl;0;BL;15.0000;20.0000;109.0300;1
domtomcl;0;BL;20.0000;25.0000;137.7500;1
domtomcl;0;BL;25.0000;;166.4600;1
domtomcl;0;GF;;0.5000;9.0800;1
domtomcl;0;GF;0.5000;1.0000;13.7800;1
domtomcl;0;GF;1.0000;2.0000;18.7700;1
domtomcl;0;GF;2.0000;3.0000;23.7800;1
domtomcl;0;GF;3.0000;4.0000;28.7800;1
domtomcl;0;GF;4.0000;5.0000;32.9200;1
domtomcl;0;GF;5.0000;6.0000;38.8000;1
domtomcl;0;GF;6.0000;7.0000;43.7900;1
domtomcl;0;GF;7.0000;8.0000;48.5900;1
domtomcl;0;GF;8.0000;9.0000;53.4300;1
domtomcl;0;GF;9.0000;10.0000;59.2300;1
domtomcl;0;GF;10.0000;15.0000;83.1500;1
domtomcl;0;GF;15.0000;20.0000;109.0300;1
domtomcl;0;GF;20.0000;25.0000;137.7500;1
domtomcl;0;GF;25.0000;;166.4600;1
domtomcl;0;GP;;0.5000;9.0800;1
domtomcl;0;GP;0.5000;1.0000;13.7800;1
domtomcl;0;GP;1.0000;2.0000;18.7700;1
domtomcl;0;GP;2.0000;3.0000;23.7800;1
domtomcl;0;GP;3.0000;4.0000;28.7800;1
domtomcl;0;GP;4.0000;5.0000;32.9200;1
domtomcl;0;GP;5.0000;6.0000;38.8000;1
domtomcl;0;GP;6.0000;7.0000;43.7900;1
domtomcl;0;GP;7.0000;8.0000;48.5900;1
domtomcl;0;GP;8.0000;9.0000;53.4300;1
domtomcl;0;GP;9.0000;10.0000;59.2300;1
domtomcl;0;GP;10.0000;15.0000;83.1500;1
domtomcl;0;GP;15.0000;20.0000;109.0300;1
domtomcl;0;GP;20.0000;25.0000;137.7500;1
domtomcl;0;GP;25.0000;;166.4600;1
domtomcl;0;MF;;0.5000;9.0800;1
domtomcl;0;MF;0.5000;1.0000;13.7800;1
domtomcl;0;MF;1.0000;2.0000;18.7700;1
domtomcl;0;MF;2.0000;3.0000;23.7800;1
domtomcl;0;MF;3.0000;4.0000;28.7800;1
domtomcl;0;MF;4.0000;5.0000;32.9200;1
domtomcl;0;MF;5.0000;6.0000;38.8000;1
domtomcl;0;MF;6.0000;7.0000;43.7900;1
domtomcl;0;MF;7.0000;8.0000;48.5900;1
domtomcl;0;MF;8.0000;9.0000;53.4300;1
domtomcl;0;MF;9.0000;10.0000;59.2300;1
domtomcl;0;MF;10.0000;15.0000;83.1500;1
domtomcl;0;MF;15.0000;20.0000;109.0300;1
domtomcl;0;MF;20.0000;25.0000;137.7500;1
domtomcl;0;MF;25.0000;;166.4600;1
domtomcl;0;MQ;;0.5000;9.0800;1
