"Product PDF Print Settings","Product PDF Print Settings"
"License Configuration","License Configuration"
"General Configuration","General Configuration"
"Enable On Frontend","Enable On Frontend"
"Cover Page Image","Cover Page Image"
"Enable Product Additional Images","Enable Product Additional Images"
"Number Of Additional Images","Number Of Additional Images"
"Display Upsell Products","Display Upsell Products"
"Display Related Products","Display Related Products"
"Display QR Codes","Display QR Codes"
"Display Wishlist Link","Display Wishlist Link"
"Display Compare Product Link","Display Compare Product Link"
"Display Reviews Link","Display Reviews Link"
"Allow Customer Groups","Allow Customer Groups"
"Allow HTML tags in description, short description","Allow HTML tags in description, short description"
"Fonts","Fonts"
"Upload Fonts","Upload Fonts"
"Regular font","Regular font"
"Bold font","Bold font"
"Text Formating Options","Text Formating Options"
"Product Title Color","Product Title Color"
"Links Color","Links Color"
"Attribute Heading Color","Attribute Heading Color"
"PDF Document Header / Footer Configuration","PDF Document Header / Footer Configuration"
"Header Logo","Header Logo"
"Footer Text","Footer Text"
"Table Of Content","Table Of Content"
"OUT OF STOCK","OUT OF STOCK"
"IN STOCK","IN STOCK"
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"From:","From:"
"To:","To:"
"Regular Price:","Regular Price:"
"Special Price:","Special Price:"
"Starting at:","Starting at:"
"Quick Overview","Quick Overview"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Details","Details"
"Additional Information","Additional Information"
"Related Products","Related Products"
"You may also be interested in the following product(s).","You may also be interested in the following product(s)."
"%d Review(s)","%d Review(s)"
"Add Your Review","Add Your Review"
"Product Options","Product Options"
"Configurable Product Options","Configurable Product Options"
"Grouped Product Options","Grouped Product Options"
"Maximum 550 characters allowed in this field.","Maximum 550 characters allowed in this field."
"Please upload jpeg, jpg, gif or png files only.","Please upload jpeg, jpg, gif or png files only."
"Allowed only ttf file type.","Allowed only ttf file type."
"Write HTML tags here,, like <p><br>","Write HTML tags here,, like <p><br>"
"This cover page image will be displayed on pdf cover page. Please upload jpeg, jpg, gif or png files only.","This cover page image will be displayed on pdf cover page. Please upload jpeg, jpg, gif or png files only."
"Serial Key","Serial Key"
"Activation Key","Activation Key"
"Enter the serial key that you received at time of purchase.","Enter the serial key that you received at time of purchase."
"Enter the activation key that you received at time of purchase.","Enter the activation key that you received at time of purchase."
"PDF Catalog Booklet","PDF Catalog Booklet"
"Category Selection","Category Selection"
"Print Products","Print Products"
