"Yes","Sim"
"No","Não"
"VerifiedReviews","OpiniõesVerificadas"
"Product Reviews","Product Reviews"
"Number of reviews","Número de opiniões"
"Average rating","Média das notas"
"View the trust certificate","Exibir o selo de confiança"
"More Reviews...","Mais opiniões..."
"No reviews for this product.","Não há opiniões para este produto."
"the","O"
"d/m/Y","d/m/Y"
"Comments of","Comentários do"
"on","em"
"review(s)","opinião(ões)"
"review","opinião"
"Review","Opinião"
"reviews","opiniões"
"Reviews","Opiniões"
"See the review(s)","Vere a(s) opinião(ões)"
"Based on","Calculado a partir de"
"customer(s) reviews","opiniões de clientes"
"Anonymous A.","Cliente anônimo"
"Anonymous a.","Cliente anônimo"
"anonymous a.","Cliente anônimo"
"anonymous A.","Cliente anônimo"
"anonymous  .","Cliente anônimo"
"anonymous ","Cliente anônimo"
"anonymous","Cliente anônimo"
"Anonymous  .","Cliente anônimo"
"Anonymous ","Cliente anônimo"
"Anonymous","Cliente anônimo"
"Verified Reviews","Opiniões Verificadas"
"Verified Reviews v.3.9.3","Opiniões Verificadas v.3.9.3"
"Export orders (CSV file)","Exportar pedidos (arquivo CSV)"
"Installation Status","Status da Instalação"
"Configuration","Configuração"
"General Configuration","Configuração Geral"
"IMPORTANT: BEFORE ALL PLEASE SELECT THE STORE TO CONFIGURE IN THE TOP-LEFT MENU.","IMPORTANTE: ANTES DE QUE TODOS POR FAVOR SELECIONE A LOJA PARA CONFIGURAR NO MENU PRINCIPAL."
"Enable Module in this view","Habilitar Módulo nesta vista"
"By activating the module, you will reap your website and product reviews. Go to the advanced configuration if you want to change the product reviews configuration.","Ao ativar o módulo, você colherá suas opiniões de sites e produtos. Vá para a configuração avançada se quiser alterar a configuração de opiniões do produto."
"Secret Key","Chave secreta"
"Website ID","ID do site"
"Advanced Configuration","Configuração Avançada"
"Add reviews to product page","Adicionar opiniões à página do produto"
"This configuration is used to add the product reviews block in the product page.","Esta configuração é usada para adicionar o bloco de opiniões do produto na página do produto."
"jQuery present on the site?","jQuery presente no site?"
"Change this to yes, if jQuery is already used on the site.","Mude isso para sim, se jQuery já é usado no site."
"Activate the Rich-Snippets in the product page","Ativar Rich-Snippets na página do produto"
